"winename","region","country","vintage","searchrank","rating_100","price","_id","_vintageId"
"Comte Armand Clos des Epeneaux Monopole","Pommard Premier Cru","France","1978",534,97,"1116",1129143,3660343
"Henri Jayer Cros Parantoux","Vosne-Romanee Premier Cru","France","1993",553,97,"17962",1823657,3245366
"Henri Jayer Cros Parantoux","Vosne-Romanee Premier Cru","France","1991",553,97,"13443",,
"Krug Collection Brut","Champagne","France","1988",566,97,"969",79633,98442
"Pavillon Blanc du Chateau Margaux","Bordeaux","France","1989",570,97,"NA",6019,80168
"Bollinger Vieilles Vignes Francaises Blanc de Noirs","Champagne","France","2005",591,97,"762",,
"Bollinger Vieilles Vignes Francaises Blanc de Noirs","Champagne","France","1992",591,97,"1719",,
"Bollinger Vieilles Vignes Francaises Blanc de Noirs","Champagne","France","1990",591,97,"1910",,
"Vietti Ravera","Barolo DOCG","Italy","2010",606,97,"392",1447267,3845639
"Bryant Family Vineyard Cabernet Sauvignon","Napa Valley","USA","2013",639,97,"781",1645873,3009354
"Bryant Family Vineyard Cabernet Sauvignon","Napa Valley","USA","1997",639,97,"1005",1645873,3524437
"Meo-Camuzet Richebourg Grand Cru","Cote de Nuits","France","2005",649,97,"3545",,
"Meo-Camuzet Richebourg Grand Cru","Cote de Nuits","France","2002",649,97,"2636",,
"Domaine des Comtes Lafon Montrachet Grand Cru","Cote de Beaune","France","2010",650,97,"2252",79939,2123533
"Domaine Leroy Romanee-Saint-Vivant Grand Cru","Cote de Nuits","France","2006",670,97,"5907",,
"Domaine Comte Georges de Vogue Les Amoureuses","Chambolle-Musigny Premier Cru","France","2010",679,97,"1011",1676355,6452439
"Hundred Acre 'Kayli Morgan Vineyard' Cabernet Sauvignon","Napa Valley","USA","2015",754,97,"528",84351,143500908
"Hundred Acre 'Kayli Morgan Vineyard' Cabernet Sauvignon","Napa Valley","USA","2007",754,97,"723",84351,1573439
"Il Marroneto Madonna delle Grazie","Brunello di Montalcino DOCG","Italy","2010",759,97,"515",,
"Taylor Fladgate Very Old Single Harvest Port","NA","Portugal","1863",822,97,"3287",,
"Schrader Cellars 'Old Sparky' Beckstoffer To Kalon Vineyard Cabernet Sauvignon","Napa Valley","USA","2010",839,97,"582",1144145,3771823
"Schrader Cellars 'Old Sparky' Beckstoffer To Kalon Vineyard Cabernet Sauvignon","Napa Valley","USA","2009",839,97,"648",1144145,2285157
"Schrader Cellars 'Old Sparky' Beckstoffer To Kalon Vineyard Cabernet Sauvignon","Napa Valley","USA","2006",839,97,"845",1144145,1734896
"Bond Vecina Napa Valley","NA","USA","2007",875,97,"578",1203578,1972583
"Falletto di Bruno Giacosa Asili Riserva","Barbaresco DOCG","Italy","1990",884,97,"1001",,
"Chateau La Violette","Pomerol","France","2010",899,97,"1347",1180377,2099930
"Chateau La Violette","Pomerol","France","2009",899,97,"697",1180377,1609027
"Cockburn's Vintage Port","NA","Portugal","1927",917,97,"1310",,
"Cerbaiona di Diego Molinari Brunello di Montalcino DOCG","Tuscany","Italy","2010",937,97,"499",,
"Abreu Vineyard Madrona Ranch Cabernet Sauvignon","Napa Valley","USA","2002",955,97,"779",18199,2729890
"Leroy Domaine d'Auvenay Chevalier-Montrachet Grand Cru","Cote de Beaune","France","2002",979,97,"7484",,
"Giuseppe Quintarelli 'Alzero' Cabernet Veneto IGT","NA","Italy","1993",986,97,"884",1194532,23756624
"Joseph Drouhin Musigny Grand Cru","Cote de Nuits","France","1979",999,97,"1965",,
"Marchesi Antinori Villa Antinori Riserva","Chianti Classico DOCG","Italy","1977",1020,97,"34",1143960,4166275
"Chappellet Pritchard Hill Cabernet Sauvignon","Napa Valley","USA","2016",1027,97,"272",1128247,99614060
"Clos i Terrasses Clos Erasmus","Priorat DOCa","Spain","2013",1032,97,"734",1164373,2494462
"Clos i Terrasses Clos Erasmus","Priorat DOCa","Spain","2012",1032,97,"265",1164373,4109345
