"winename","region","country","vintage","searchrank","rating_100","price","_id","_vintageId"
"Chateau d'Yquem","Sauternes","France","2015",12,98,"402",1153863,14207721
"Chateau d'Yquem","Sauternes","France","2001",12,98,"682",1153863,1195048
"Chateau d'Yquem","Sauternes","France","1937",12,98,"5802",1153863,3932198
"Chateau Cheval Blanc","Saint-Emilion Grand Cru","France","2015",15,98,"840",1148747,14181518
"Chateau Cheval Blanc","Saint-Emilion Grand Cru","France","1929",15,98,"3500",1148747,4321076
"Domaine de la Romanee-Conti La Tache Grand Cru Monopole","Cote de Nuits","France","2010",18,98,"5243",83911,1805495
"Domaine de la Romanee-Conti La Tache Grand Cru Monopole","Cote de Nuits","France","2005",18,98,"6322",83911,1770420
"Domaine de la Romanee-Conti La Tache Grand Cru Monopole","Cote de Nuits","France","1999",18,98,"6982",83911,1576106
"Domaine de la Romanee-Conti La Tache Grand Cru Monopole","Cote de Nuits","France","1962",18,98,"14784",83911,1530117
"Domaine de la Romanee-Conti La Tache Grand Cru Monopole","Cote de Nuits","France","1943",18,98,"3916",83911,2563661
"Chateau Montrose","Saint-Estephe","France","2016",21,98,"234",,
"Chateau Leoville-Las Cases 'Grand Vin de Leoville'","Saint-Julien","France","2018",22,98,"272",,
"Chateau Palmer","Margaux","France","2016",24,98,"398",9220,86368541
"Masseto Toscana IGT","Tuscany","Italy","2015",35,98,"876",,
"Screaming Eagle Cabernet Sauvignon","Napa Valley","USA","2007",47,98,"4164",,
"Vega Sicilia Unico Gran Reserva","Ribera del Duero","Spain","1948",51,98,"1049",77136,9026843
"Chateau Calon-Segur","Saint-Estephe","France","2018",55,98,"144",,
"Chateau Calon-Segur","Saint-Estephe","France","1943",55,98,"575",,
"Vieux Chateau Certan","Pomerol","France","2010",63,98,"352",81849,2072535
"Chateau Rauzan-Segla","Margaux","France","2018",66,98,"135",3110,156274687
"Chateau Lafleur","Pomerol","France","2012",79,98,"567",1099307,6827882
"Chateau Lafleur","Pomerol","France","2000",79,98,"1892",1099307,1304860
"Chateau Canon","Saint-Emilion Grand Cru","France","2018",83,98,"143",1145360,156192440
"Chateau Ausone","Saint-Emilion Grand Cru","France","2016",84,98,"925",1152417,108965473
"Chateau Ausone","Saint-Emilion Grand Cru","France","2005",84,98,"1512",1152417,1680779
"Le Pin","Pomerol","France","1990",91,98,"4620",1197490,1623268
"Taylor Fladgate Vintage Port","NA","Portugal","1927",107,98,"1679",,
"Domaine de Chevalier","Pessac-Leognan","France","2018",114,98,"79",1154913,156232206
"Krug Clos du Mesnil Blanc de Blancs Brut","Champagne","France","1979",157,98,"4364",79635,3122645
"Domaine de la Romanee-Conti Montrachet Grand Cru","Cote de Beaune","France","1986",158,98,"10152",83919,4633163
"Chateau Les Carmes Haut-Brion","Pessac-Leognan","France","2018",248,98,"144",1379887,156343209
"Domaine du Comte Liger-Belair La Romanee Grand Cru","Cote de Nuits","France","2012",257,98,"6424",2273709,8382871
"Coche-Dury Corton-Charlemagne Grand Cru","Cote de Beaune","France","2010",267,98,"5890",,
"E. Guigal Cote Rotie La Landonne","Rhone","France","2015",269,98,"418",36404,27162477
"Tua Rita Redigaffi Toscana IGT","Tuscany","Italy","2000",322,98,"658",75816,2437223
"Vietti Rocche di Castiglione","Barolo DOCG","Italy","2016",379,98,"280",77449,150700753
"Quinta do Noval Nacional Vintage Port","NA","Portugal","2011",404,98,"1817",,
"Quinta do Noval Nacional Vintage Port","NA","Portugal","1963",404,98,"4941",,
"Clarendon Hills Astralis Shiraz","McLaren Vale","Australia","2000",420,98,"207",80363,2360078
"Don Julio 1942 Tequila Anejo","Jalisco","Mexico","NA",453,98,"156",,
"Weingut Keller G-Max Riesling Trocken","Rheinhessen","Germany","2015",457,98,"2283",1223579,77503699
"Weingut Keller G-Max Riesling Trocken","Rheinhessen","Germany","2004",457,98,"5374",1223579,22133462
"Domaine du Pegau Chateauneuf-du-Pape Cuvee da Capo","Rhone","France","2016",463,98,"364",36044,147307984
"Domaine Leroy Richebourg Grand Cru","Cote de Nuits","France","1993",483,98,"NA",,
"Henri Bonneau Chateauneuf-du-Pape Reserve des Celestins","Rhone","France","1990",548,98,"2899",1099912,1942867
"Henri Jayer Cros Parantoux","Vosne-Romanee Premier Cru","France","2001",553,98,"16384",1823657,4297420
"Bollinger Vieilles Vignes Francaises Blanc de Noirs","Champagne","France","1996",591,98,"1606",,
"Domaine des Comtes Lafon Montrachet Grand Cru","Cote de Beaune","France","2014",650,98,"2175",79939,18228202
"Domaine Jean Grivot Richebourg Grand Cru","Cote de Nuits","France","2010",687,98,"1750",1098876,4205602
"Domaine Jean Grivot Richebourg Grand Cru","Cote de Nuits","France","2005",687,98,"2431",1098876,1122274
"Domaine Jacques-Frederic Mugnier Les Amoureuses","Chambolle-Musigny Premier Cru","France","2015",763,98,"1889",100675,26166479
"Schrader Cellars 'Old Sparky' Beckstoffer To Kalon Vineyard Cabernet Sauvignon","Napa Valley","USA","2012",839,98,"706",1144145,10570471
"Schrader Cellars 'Old Sparky' Beckstoffer To Kalon Vineyard Cabernet Sauvignon","Napa Valley","USA","2008",839,98,"850",1144145,1177617
"Schrader Cellars 'Old Sparky' Beckstoffer To Kalon Vineyard Cabernet Sauvignon","Napa Valley","USA","2007",839,98,"963",1144145,2331950
"Bond Vecina Napa Valley","NA","USA","2013",875,98,"642",1203578,2522408
"Domaine Bruno Clair Chambertin-Clos de Beze Grand Cru","Cote de Nuits","France","2018",906,98,"265",1128189,156753955
"Henri Jayer Echezeaux Grand Cru","Cote de Nuits","France","1990",929,98,"10291",,
"Domaine Hubert Lignier Clos de la Roche Grand Cru","Cote de Nuits","France","2015",974,98,"524",1128976,27088850
"Bond St Eden","Napa Valley","USA","2013",1199,98,"680",1134333,5141664
"Tusk Estate Cabernet Sauvignon","Napa Valley","USA","2015",1201,98,"845",4303324,141696525
"Tusk Estate Cabernet Sauvignon","Napa Valley","USA","2013",1201,98,"942",4303324,141279806
"Tusk Estate Cabernet Sauvignon","Napa Valley","USA","2009",1201,98,"717",4303324,138162123
"Clos Saint-Jean Deus-Ex Machina Chateauneuf-du-Pape","Rhone","France","2010",1210,98,"313",1172691,1325648
"Torbreck The Laird","Barossa Valley","Australia","2008",1323,98,"709",1183599,1819541
"Old Rip Van Winkle 'Pappy Van Winkle's Family Reserve' 13 Year Old Kentucky Straight Rye Whiskey","NA","USA","NA",1336,98,"2025",,
"Maybach Family Vineyards Materium Cabernet Sauvignon","Oakville","USA","2014",1429,98,"426",1225285,21901310
"Maybach Family Vineyards Materium Cabernet Sauvignon","Oakville","USA","2013",1429,98,"440",1225285,15742796
"Vine Hill Ranch 'VHR' Cabernet Sauvignon","Napa Valley","USA","2016",1482,98,"261",,
"Schrader Cellars CCS Beckstoffer To Kalon Vineyard Cabernet Sauvignon","Napa Valley","USA","2007",1621,98,"1318",1562648,4591077
"Domaine Leroy Corton-Charlemagne Grand Cru","Cote de Beaune","France","2001",1648,98,"3902",,
"Sine Qua Non Cumulus Vineyard 'Next of Kyn'","Central Coast","USA","2012",1780,98,"503",1914259,21024985
"Bodegas Toro Albala Don PX Convento Seleccion","Montilla-Moriles","Spain","1946",1882,98,"278",,
"W & J Graham's 'The Stone Terraces' Vintage Port","NA","Portugal","2017",1894,98,"253",,
"Realm Cellars The Absurd Proprietary Red","Napa Valley","USA","2016",1942,98,"753",2556060,148386608
"Realm Cellars The Absurd Proprietary Red","Napa Valley","USA","2012",1942,98,"610",2556060,13478832
"Domaine La Barroche Chateauneuf-du-Pape Pure","Rhone","France","2016",1976,98,"152",14295,145584605
"Realm Cellars Beckstoffer Dr. Crane Vineyard Cabernet Sauvignon","St. Helena","USA","2016",2051,98,"559",87663,151520090
"Realm Cellars Beckstoffer Dr. Crane Vineyard Cabernet Sauvignon","St. Helena","USA","2015",2051,98,"549",87663,22721431
"Realm Cellars Beckstoffer Dr. Crane Vineyard Cabernet Sauvignon","St. Helena","USA","2014",2051,98,"453",87663,32157362
"Realm Cellars Beckstoffer Dr. Crane Vineyard Cabernet Sauvignon","St. Helena","USA","2012",2051,98,"498",87663,4714722
"Peter Michael 'Point Rouge' Chardonnay","Sonoma County","USA","2012",2120,98,"473",6888,6695489
"Colgin Cellars Tychson Hill Vineyard Cabernet Sauvignon","Napa Valley","USA","2007",2263,98,"406",8025,1723237
"Kapcsandy Family Winery State Lane Vineyard Roberta's Reserve","Napa Valley","USA","2013",2410,98,"536",10365,16050642
"Hundred Acre 'Few and Far Between' Cabernet Sauvignon","Napa Valley","USA","2013",2442,98,"703",4110288,126346084
"Hundred Acre 'Few and Far Between' Cabernet Sauvignon","Napa Valley","USA","2012",2442,98,"662",4110288,114771893
"Bruno Giacosa Collina Rionda","Barolo DOCG","Italy","1989",2857,98,"4271",,
"Michel & Stephane Ogier Cote Rotie La Belle Helene","Rhone","France","1999",2890,98,"747",1109691,3051140
"Henriot Cuvee des Enchanteleurs Brut","Champagne","France","1964",2904,98,"1474",3630450,147267932
"Domaine Pierre Usseglio et Fils Chateauneuf-du-Pape Reserve des Deux Freres","Rhone","France","2016",3997,98,"174",1195974,148273814
"Sine Qua Non The Gorgeous Victim","California","USA","2017",4198,98,"334",8075591,163422370
"Weingut Keller Niersteiner Pettenthal Riesling Grosses Gewachs","Rheinhessen","Germany","2017",4232,98,"1148",,
"Carter Cellars Beckstoffer To Kalon Vineyard The O.G. Cabernet Sauvignon","Napa Valley","USA","2016",4611,98,"604",,
"Christopher Tynan Wines Meleagris Gallopavo Vineyard Cabernet Sauvignon","Napa Valley","USA","2014",6663,98,"453",,
"Quilceda Creek Galitzine Vineyard Cabernet Sauvignon","Red Mountain","USA","2014",6715,98,"252",1754831,11674882
"Odette Estate Reserve Cabernet Sauvignon","Stags Leap District","USA","2012",7084,98,"566",1957455,3481226
"Weingut Donnhoff Oberhauser Brucke Riesling Eiswein","Nahe","Germany","2009",7911,98,"424",,
"Weingut Donnhoff Oberhauser Brucke Riesling Eiswein","Nahe","Germany","2002",7911,98,"980",,
"Hundred Acre 'Precious' Cabernet Sauvignon","Napa Valley","USA","2010",8396,98,"538",4110294,108568701
"Hundred Acre 'Precious' Cabernet Sauvignon","Napa Valley","USA","2007",8396,98,"637",4110294,93817740
"Gialdi Merlot Sassi Grossi","Ticino","Switzerland","2014",8707,98,"62",1961565,5020743
"Cliff Lede Vineyards Beckstoffer To Kalon Vineyard Cabernet Sauvignon","Napa Valley","USA","2016",8744,98,"296",4098708,152502734
"Cliff Lede Vineyards Beckstoffer To Kalon Vineyard Cabernet Sauvignon","Napa Valley","USA","2015",8744,98,"313",4098708,149766343
"Sine Qua Non Stockholm Syndrome Eleven Confession Vineyard Syrah","Central Coast","USA","2010",9940,98,"1053",5420759,152517162
"Russian River Brewing Company 'Pliny the Elder' Double IPA Beer","California","USA","NA",10997,98,"9",,
"Markus Molitor Zeltinger Sonnenuhr Riesling Trockenbeerenauslese","Mosel","Germany","2010",11591,98,"853",,
"Fairchild Estate Stones No. 1","Napa Valley","USA","2015",12235,98,"500",2476816,148183510
"Sine Qua Non Touche Syrah","California","USA","2012",12654,98,"675",5074371,148840664
"Philippe Foreau Domaine du Clos Naudin Vouvray Moelleux 'Goutte d'Or'","Loire","France","2011",12737,98,"252",,
"Domaine de la Mordoree Chateauneuf-du-Pape La Plume du Peintre","Rhone","France","2005",14108,98,"582",,
"Paul Hobbs Cuvee Agustina Richard Dinner Vineyard Chardonnay","Sonoma Mountain","USA","2015",14304,98,"72",87357,154954270
"Domaine Roulot L'Abricot du Roulot - Apricot Liqueur","NA","France","NA",15335,98,"88",,
"Purlieu Beckstoffer To Kalon Vineyard Cabernet Sauvignon","Napa Valley","USA","2016",17098,98,"229",4801549,150117763
"Bruno Giacosa Vigneto Montefico","Barbaresco DOCG","Italy","1971",42040,98,"627",,
"Massandra Ai-Danil","NA","Crimea","1931",74313,98,"875",,
"Forstmeister Geltz-Zilliken Saarburger Rausch Riesling Beerenauslese","Mosel","Germany","2005",97163,98,"295",,
"Quinta do Mourao 'S. Leonardo' 60 Year Old Tawny Port","NA","Portugal","NA",120688,98,"727",,
"Chateau Mouton Rothschild","Pauillac","France","2017",2,97,"521",1684223,150355234
"Chateau Mouton Rothschild","Pauillac","France","2010",2,97,"1125",1684223,3887212
"Chateau Mouton Rothschild","Pauillac","France","2009",2,97,"1083",1684223,3009429
"Chateau Mouton Rothschild","Pauillac","France","1982",2,97,"1618",1684223,3085752
"Chateau Mouton Rothschild","Pauillac","France","1949",2,97,"4424",1684223,6387642
"Chateau Mouton Rothschild","Pauillac","France","1945",2,97,"16929",1684223,3662574
"Chateau Lafite Rothschild","Pauillac","France","2016",3,97,"825",3908,85518110
"Chateau Lafite Rothschild","Pauillac","France","2010",3,97,"1234",3908,1599557
"Chateau Lafite Rothschild","Pauillac","France","2009",3,97,"1201",3908,1402510
"Chateau Margaux","Margaux","France","2016",4,97,"761",1720306,89996142
"Chateau Margaux","Margaux","France","2010",4,97,"1117",1720306,2728526
"Chateau Margaux","Margaux","France","2005",4,97,"1044",1720306,3251529
"Chateau Margaux","Margaux","France","2000",4,97,"1189",1720306,3708326
"Chateau Margaux","Margaux","France","1990",4,97,"1324",1720306,7096322
"Petrus","Pomerol","France","2012",5,97,"3022",1166837,1927266
"Petrus","Pomerol","France","2010",5,97,"4191",1166837,1941165
"Petrus","Pomerol","France","2009",5,97,"4100",1166837,1746707
"Petrus","Pomerol","France","2008",5,97,"3043",1166837,1217798
"Petrus","Pomerol","France","2000",5,97,"5346",1166837,1859168
"Petrus","Pomerol","France","1998",5,97,"3891",1166837,1773840
"Petrus","Pomerol","France","1990",5,97,"5140",1166837,1889890
"Petrus","Pomerol","France","1955",5,97,"3272",1166837,6233827
"Petrus","Pomerol","France","1953",5,97,"3913",1166837,2077357
"Chateau Latour","Pauillac","France","2005",6,97,"1085",1224338,1490607
"Chateau Latour","Pauillac","France","2003",6,97,"1022",1224338,1530959
"Chateau Latour","Pauillac","France","1982",6,97,"2330",1224338,1856281
"Chateau Latour","Pauillac","France","1961",6,97,"4594",1224338,3565049
"Chateau Haut-Brion","Pessac-Leognan","France","2009",9,97,"1015",1152755,1330057
"Chateau Haut-Brion","Pessac-Leognan","France","1959",9,97,"2476",1152755,1666333
"Domaine de la Romanee-Conti Romanee-Conti Grand Cru","Cote de Nuits","France","2016",10,97,"21312",,
"Domaine de la Romanee-Conti Romanee-Conti Grand Cru","Cote de Nuits","France","2015",10,97,"22981",,
"Domaine de la Romanee-Conti Romanee-Conti Grand Cru","Cote de Nuits","France","2014",10,97,"18312",,
"Domaine de la Romanee-Conti Romanee-Conti Grand Cru","Cote de Nuits","France","2009",10,97,"21161",,
"Domaine de la Romanee-Conti Romanee-Conti Grand Cru","Cote de Nuits","France","2001",10,97,"20403",,
"Domaine de la Romanee-Conti Romanee-Conti Grand Cru","Cote de Nuits","France","2000",10,97,"20987",,
"Domaine de la Romanee-Conti Romanee-Conti Grand Cru","Cote de Nuits","France","1959",10,97,"20402",,
"Chateau d'Yquem","Sauternes","France","2013",12,97,"371",1153863,3856440
"Chateau d'Yquem","Sauternes","France","1975",12,97,"1007",1153863,2366894
"Chateau d'Yquem","Sauternes","France","1967",12,97,"1645",1153863,1902564
"Chateau d'Yquem","Sauternes","France","1948",12,97,"2564",1153863,3689625
"Chateau Cheval Blanc","Saint-Emilion Grand Cru","France","2018",15,97,"739",1148747,156110802
"Chateau Cheval Blanc","Saint-Emilion Grand Cru","France","2010",15,97,"1216",1148747,1791253
"Chateau Cheval Blanc","Saint-Emilion Grand Cru","France","2009",15,97,"1251",1148747,1485973
"Chateau Cheval Blanc","Saint-Emilion Grand Cru","France","2000",15,97,"1044",1148747,1186204
"Chateau Cheval Blanc","Saint-Emilion Grand Cru","France","1990",15,97,"1279",1148747,1260588
"Chateau Cheval Blanc","Saint-Emilion Grand Cru","France","1947",15,97,"10824",1148747,1427389
"Domaine de la Romanee-Conti La Tache Grand Cru Monopole","Cote de Nuits","France","2016",18,97,"5176",83911,95163183
"Domaine de la Romanee-Conti La Tache Grand Cru Monopole","Cote de Nuits","France","2015",18,97,"5887",83911,14163218
"Domaine de la Romanee-Conti La Tache Grand Cru Monopole","Cote de Nuits","France","2012",18,97,"4307",83911,3082771
"Domaine de la Romanee-Conti La Tache Grand Cru Monopole","Cote de Nuits","France","2009",18,97,"5418",83911,1346869
"Domaine de la Romanee-Conti La Tache Grand Cru Monopole","Cote de Nuits","France","2008",18,97,"4399",83911,1204536
"Domaine de la Romanee-Conti La Tache Grand Cru Monopole","Cote de Nuits","France","1990",18,97,"7316",83911,1382345
"Chateau Cos d'Estournel","Saint-Estephe","France","2018",19,97,"203",,
"Chateau Cos d'Estournel","Saint-Estephe","France","2016",19,97,"242",,
"Penfolds Grange Bin 95","NA","Australia","2010",20,97,"633",1136930,1966753
"Penfolds Grange Bin 95","NA","Australia","1962",20,97,"3050",1136930,1727102
"Chateau Montrose","Saint-Estephe","France","1990",21,97,"684",,
"Chateau Pichon Longueville Comtesse de Lalande","Pauillac","France","2018",23,97,"193",1125543,156181789
"Chateau Palmer","Margaux","France","2015",24,97,"388",9220,14492947
"Chateau Palmer","Margaux","France","1928",24,97,"496",9220,1936558
"Chateau La Mission Haut-Brion","Pessac-Leognan","France","2016",27,97,"546",1605285,90823234
"Chateau La Mission Haut-Brion","Pessac-Leognan","France","2005",27,97,"625",1605285,4151751
"Chateau La Mission Haut-Brion","Pessac-Leognan","France","1989",27,97,"1539",1605285,2431223
"Chateau La Mission Haut-Brion","Pessac-Leognan","France","1955",27,97,"2951",1605285,1576079
"Chateau La Mission Haut-Brion","Pessac-Leognan","France","1949",27,97,"3629",1605285,4008033
"Chateau La Mission Haut-Brion","Pessac-Leognan","France","1945",27,97,"5301",1605285,10151852
"Chateau Ducru-Beaucaillou","Saint-Julien","France","2016",29,97,"257",61744,85285124
"Chateau Pichon-Longueville au Baron de Pichon-Longueville","Pauillac","France","2018",30,97,"164",1135844,156338365
"Chateau Angelus","Saint-Emilion Grand Cru","France","2015",33,97,"398",10175,14514829
"Chateau Angelus","Saint-Emilion Grand Cru","France","1961",33,97,"770",10175,2421424
"Masseto Toscana IGT","Tuscany","Italy","2010",35,97,"878",,
"Screaming Eagle Cabernet Sauvignon","Napa Valley","USA","2013",47,97,"3416",,
"Screaming Eagle Cabernet Sauvignon","Napa Valley","USA","2012",47,97,"3748",,
"Screaming Eagle Cabernet Sauvignon","Napa Valley","USA","2010",47,97,"3860",,
"Screaming Eagle Cabernet Sauvignon","Napa Valley","USA","2005",47,97,"4019",,
"Krug Vintage Brut","Champagne","France","1966",50,97,"1154",19923,15809602
"Vega Sicilia Unico Gran Reserva","Ribera del Duero","Spain","1968",51,97,"1911",77136,2522604
"Vega Sicilia Unico Gran Reserva","Ribera del Duero","Spain","1961",51,97,"730",77136,7448885
"Vega Sicilia Unico Gran Reserva","Ribera del Duero","Spain","1959",51,97,"804",77136,3664785
"Marchesi Antinori Solaia Toscana IGT","Tuscany","Italy","2015",54,97,"368",,
"Salon Cuvee 'S' Le Mesnil Blanc de Blancs Brut","Champagne","France","1971",56,97,"4039",,
"Harlan Estate","Napa Valley","USA","2002",60,97,"1468",,
"Harlan Estate","Napa Valley","USA","2001",60,97,"1279",,
"Harlan Estate","Napa Valley","USA","1994",60,97,"1372",,
"Domaine de la Romanee-Conti Romanee-Saint-Vivant Grand Cru","Cote de Nuits","France","2010",62,97,"2748",83920,1333152
"Domaine de la Romanee-Conti Romanee-Saint-Vivant Grand Cru","Cote de Nuits","France","1982",62,97,"1999",83920,1630091
"Vieux Chateau Certan","Pomerol","France","2016",63,97,"363",81849,143655509
"Vieux Chateau Certan","Pomerol","France","2015",63,97,"334",81849,15671385
"Vieux Chateau Certan","Pomerol","France","2009",63,97,"321",81849,1183164
"Domaine de la Romanee-Conti Richebourg Grand Cru","Cote de Nuits","France","2015",72,97,"3960",83913,15784918
"Chateau Lafleur","Pomerol","France","2010",79,97,"1635",1099307,2630006
"Chateau Lafleur","Pomerol","France","2009",79,97,"1512",1099307,1995326
"Chateau Lafleur","Pomerol","France","2005",79,97,"1889",1099307,1119319
"Chateau Lafleur","Pomerol","France","1982",79,97,"5511",1099307,1918183
"Domaine de la Romanee-Conti Echezeaux Grand Cru","Cote de Nuits","France","1964",82,97,"1471",1286354,1796343
"Chateau Ausone","Saint-Emilion Grand Cru","France","2008",84,97,"723",1152417,1192643
"Chateau Ausone","Saint-Emilion Grand Cru","France","2003",84,97,"1125",1152417,2129359
"Chateau Ausone","Saint-Emilion Grand Cru","France","2000",84,97,"1512",1152417,1857261
"Le Pin","Pomerol","France","2004",91,97,"2887",1197490,1726308
"Domaine Comte Georges de Vogue Musigny Grand Cru 'Cuvee Vieilles Vignes'","Cote de Nuits","France","1971",111,97,"2938",1187200,22492495
"Domaine Comte Georges de Vogue Musigny Grand Cru 'Cuvee Vieilles Vignes'","Cote de Nuits","France","1947",111,97,"3770",1187200,25111351
"Shafer Vineyards Hillside Select Cabernet Sauvignon","Stags Leap District","USA","2002",115,97,"527",5274,92860
"Chateau Trotanoy","Pomerol","France","2018",144,97,"318",1098770,156371980
"Chateau Trotanoy","Pomerol","France","2016",144,97,"327",1098770,141548146
"Chateau L'Eglise-Clinet","Pomerol","France","2010",154,97,"428",1099373,3594750
"Chateau L'Eglise-Clinet","Pomerol","France","2009",154,97,"464",1099373,1828829
"Chateau L'Eglise-Clinet","Pomerol","France","2005",154,97,"532",1099373,2032271
"Krug Clos du Mesnil Blanc de Blancs Brut","Champagne","France","2002",157,97,"1271",79635,1822741
"Krug Clos du Mesnil Blanc de Blancs Brut","Champagne","France","1985",157,97,"2283",79635,108802
"Domaine de la Romanee-Conti Montrachet Grand Cru","Cote de Beaune","France","2010",158,97,"8817",83919,2170317
"Domaine de la Romanee-Conti Montrachet Grand Cru","Cote de Beaune","France","2008",158,97,"8185",83919,1643690
"Domaine de la Romanee-Conti Montrachet Grand Cru","Cote de Beaune","France","2005",158,97,"9111",83919,1661237
"Domaine de la Romanee-Conti Montrachet Grand Cru","Cote de Beaune","France","2001",158,97,"7259",83919,1122186
"Chateau Pavie Macquin","Saint-Emilion Grand Cru","France","2018",168,97,"79",1604635,156528503
"Dominio de Pingus 'Pingus'","Ribera del Duero","Spain","2009",170,97,"842",1876294,3313888
"Scarecrow Cabernet Sauvignon","Rutherford","USA","2014",189,97,"872",1611255,3974206
"Scarecrow Cabernet Sauvignon","Rutherford","USA","2013",189,97,"907",1611255,6805758
"Scarecrow Cabernet Sauvignon","Rutherford","USA","2012",189,97,"686",1611255,3265075
"Scarecrow Cabernet Sauvignon","Rutherford","USA","2007",189,97,"1056",1611255,2572149
"Domaine Armand Rousseau Pere et Fils Chambertin Clos-de-Beze Grand Cru","Cote de Nuits","France","2010",191,97,"4518",,
