"pos","Wine","Vintage","GWS","CI","NBJ","_id","_vintageId"
28,"Sandrone, Cannubi Boschis, Barolo",2010,97.51,"A+",3,23362,1589899
31,"Sandrone, Le Vigne, Barolo",1990,97.45,"C+",3,23363,1530554
100,"Sandrone, Le Vigne, Barolo",2010,96.2,"B",5,23363,3124820
3,"Tenuta San Guido, Sassicaia, Bolgheri Sassicaia",1985,99.7,"A",6,5078,95151
74,"Tenuta San Guido, Sassicaia, Bolgheri Sassicaia",2015,96.57,"B+",7,5078,14154429
39,"Tua Rita, Redigaffi, Toscana",2015,97.14,"B",4,75816,17274641
72,"Tua Rita, Redigaffi, Toscana",2008,96.61,"A+",4,75816,1337052
64,"Valdicava, Madonna del Piano, Brunello Di Montalcino Riserva",2001,96.72,"C+",3,1242989,1374970
26,"Vietti, Brunate, Barolo",2007,97.73,"B",4,2144510,4434474
98,"Vietti, Brunate, Barolo",2010,96.26,"A",5,2144510,5112973
34,"Vietti, Ravera, Barolo",2010,97.21,"B",4,1447267,3845639
80,"Vietti, Ravera, Barolo",2013,96.49,"B",6,1447267,57348864
32,"Vietti, Rocche di Castiglione , Barolo",2007,97.42,"B",4,77449,1256111
65,"Vietti, Rocche di Castiglione , Barolo",2010,96.72,"B+",9,77449,4746801
30,"Vietti, Villero, Barolo Riserva",2007,97.45,"B",4,77453,4509438
63,"Vietti, Villero, Barolo Riserva",2010,96.73,"A+",3,77453,4571047
84,"Vietti, Villero, Barolo Riserva",2004,96.45,"B",4,77453,1315086
59,"Ben Glaetzer, Glaetzer Amon-Ra Unfiltered Shiraz, Barossa Valley",2005,95.63,"B",5,1160689,1276991
81,"Ben Glaetzer, Glaetzer Amon-Ra Unfiltered Shiraz, Barossa Valley",2006,95.16,"B",7,1160689,1220355
91,"Ben Glaetzer, Glaetzer Amon-Ra Unfiltered Shiraz, Barossa Valley",2002,95.05,"A",3,1160689,1787381
92,"Ben Glaetzer, Glaetzer Amon-Ra Unfiltered Shiraz, Barossa Valley",2004,95.04,"B",4,1160689,1216860
94,"Ben Glaetzer, Glaetzer Amon-Ra Unfiltered Shiraz, Barossa Valley",2003,95.02,"B",4,1160689,1484730
97,"Ben Glaetzer, Glaetzer Amon-Ra Unfiltered Shiraz, Barossa Valley",2010,94.98,"B",6,1160689,1306026
15,"Clarendon Hills, Astralis Shiraz, Mclaren Vale",2005,97.37,"A",5,80363,102973
19,"Clarendon Hills, Astralis Shiraz, Mclaren Vale",2008,97.09,"B",3,80363,1334899
22,"Clarendon Hills, Astralis Shiraz, Mclaren Vale",2006,96.96,"C+",5,80363,95783
30,"Clarendon Hills, Astralis Shiraz, Mclaren Vale",2004,96.59,"C+",5,80363,110172
33,"Clarendon Hills, Astralis Shiraz, Mclaren Vale",2003,96.44,"B+",5,80363,1279595
39,"Clarendon Hills, Astralis Shiraz, Mclaren Vale",2007,96.28,"A+",4,80363,1354156
55,"Clarendon Hills, Astralis Shiraz, Mclaren Vale",2001,95.73,"C+",3,80363,107547
96,"Clarendon Hills, Astralis Shiraz, Mclaren Vale",1996,94.98,"B",6,80363,101631
57,"Clonakilla, Shiraz - Viognier, Canberra District",2013,95.67,"B",5,79492,8233022
100,"Cullen, Diana Madeline, Margaret River",2014,94.94,"C+",4,22183,12249949
54,"Giaconda, Chardonnay, White, Beechworth",2004,95.74,"A+",3,,
2,"Henschke, Hill Of Grace Shiraz, Eden Valley",2012,98.71,"A+",5,13563,1433048
9,"Henschke, Hill Of Grace Shiraz, Eden Valley",2010,98,"A",7,13563,1401858
11,"Henschke, Hill Of Grace Shiraz, Eden Valley",2005,97.71,"B+",6,13563,83370
14,"Henschke, Hill Of Grace Shiraz, Eden Valley",2006,97.39,"A",6,13563,1770061
16,"Henschke, Hill Of Grace Shiraz, Eden Valley",2008,97.21,"B+",4,13563,1184306
23,"Henschke, Hill Of Grace Shiraz, Eden Valley",2002,96.91,"A",8,13563,1725988
29,"Henschke, Hill Of Grace Shiraz, Eden Valley",1958,96.6,"B",3,13563,22118000
31,"Henschke, Hill Of Grace Shiraz, Eden Valley",2013,96.54,"B",3,13563,2352562
36,"Henschke, Hill Of Grace Shiraz, Eden Valley",1986,96.29,"B",4,13563,93962
37,"Henschke, Hill Of Grace Shiraz, Eden Valley",1961,96.29,"B+",3,13563,24564431
44,"Henschke, Hill Of Grace Shiraz, Eden Valley",1965,96.1,"C",3,13563,22118008
47,"Henschke, Hill Of Grace Shiraz, Eden Valley",1994,95.87,"B+",6,13563,102860
51,"Henschke, Hill Of Grace Shiraz, Eden Valley",1991,95.8,"B",5,13563,89767
56,"Henschke, Hill Of Grace Shiraz, Eden Valley",2009,95.67,"B",6,13563,1801396
67,"Henschke, Hill Of Grace Shiraz, Eden Valley",2004,95.41,"B",7,13563,14240
77,"Henschke, Hill Of Grace Shiraz, Eden Valley",2003,95.21,"C+",5,13563,1452004
80,"Henschke, Hill Of Grace Shiraz, Eden Valley",1966,95.17,"B+",3,13563,22118009
85,"Henschke, Hill Of Grace Shiraz, Eden Valley",1996,95.12,"C+",4,13563,1334513
88,"Henschke, Hill Of Grace Shiraz, Eden Valley",1971,95.09,"C+",3,13563,4130327
99,"Henschke, Hill Of Grace Shiraz, Eden Valley",1998,94.95,"B",7,13563,62354
49,"Henschke, Mount Edelstone Shiraz, Eden Valley",2010,95.81,"A",3,2363901,5439009
86,"Henschke, Mount Edelstone Shiraz, Eden Valley",2012,95.11,"A",4,2363901,8943492
17,"Jim Barry, The Armagh Shiraz, Clare Valley",2012,97.13,"A",4,31124,3515350
40,"Jim Barry, The Armagh Shiraz, Clare Valley",2010,96.24,"B",5,31124,4628050
61,"Jim Barry, The Armagh Shiraz, Clare Valley",1996,95.59,"C+",3,31124,1141352
71,"Jim Barry, The Armagh Shiraz, Clare Valley",2002,95.33,"B",6,31124,90292
72,"Jim Barry, The Armagh Shiraz, Clare Valley",2009,95.32,"A",4,31124,1869110
83,"Jim Barry, The Armagh Shiraz, Clare Valley",2006,95.14,"C+",5,31124,1726769
95,"Jim Barry, The Armagh Shiraz, Clare Valley",2005,94.99,"B+",5,31124,34084
65,"Leeuwin Estate, Art Series Chardonnay, White, Margaret River",1987,95.46,"B+",3,1677583,5208437
78,"Leeuwin Estate, Art Series Chardonnay, White, Margaret River",2014,95.19,"B+",3,1677583,7094146
84,"Leeuwin Estate, Art Series Chardonnay, White, Margaret River",2010,95.13,"A",7,1677583,2924316
87,"Leeuwin Estate, Art Series Chardonnay, White, Margaret River",2013,95.11,"B+",7,1677583,7094148
20,"Mollydooker, Carnival Of Love Shiraz, Mclaren Vale",2005,97.09,"B",3,16470,1212884
10,"Mollydooker, Velvet Glove Shiraz, Mclaren Vale",2006,97.83,"B+",3,1381424,1970580
24,"Mollydooker, Velvet Glove Shiraz, Mclaren Vale",2010,96.86,"A",3,1381424,1793803
27,"Mollydooker, Velvet Glove Shiraz, Mclaren Vale",2009,96.78,"A+",4,1381424,1790986
48,"Mollydooker, Velvet Glove Shiraz, Mclaren Vale",2007,95.84,"C+",3,1381424,1791473
90,"Moss Wood, Cabernet Sauvignon, Margaret River",2012,95.06,"A+",4,86985,4100175
82,"Noon Winery, Noon Eclipse, Mclaren Vale",2006,95.16,"A",3,,
18,"Penfolds, Bin 170 Kalimna Vineyard Shiraz, Barossa Valley",2010,97.1,"A",6,2370149,5497761
34,"Penfolds, Bin 60A Cabernet Sauvignon Shiraz Coonawarra, Barossa Valley",2004,96.43,"B+",6,,
76,"Penfolds, Bin 707, South Australia",2009,95.23,"A+",3,1264,1402878
98,"Penfolds, Bin 707, South Australia",2010,94.97,"B",5,1264,1758738
4,"Penfolds, Block 42 Kalimna Cabernet Sauvignon, Barossa Valley",2004,98.3,"B+",7,24021,25541
1,"Penfolds, Grange Bin 95, Australian Wine",2010,98.79,"A",6,1136930,1966753
3,"Penfolds, Grange Bin 95, Australian Wine",2004,98.61,"A",8,1136930,1460938
6,"Penfolds, Grange Bin 95, Australian Wine",2008,98.26,"B+",8,1136930,1168840
7,"Penfolds, Grange Bin 95, Australian Wine",2005,98.13,"B+",3,1136930,1818111
8,"Penfolds, Grange Bin 95, Australian Wine",2012,98.08,"B+",4,1136930,1572665
13,"Penfolds, Grange Bin 95, Australian Wine",2013,97.44,"A",4,1136930,2126227
21,"Penfolds, Grange Bin 95, Australian Wine",2014,96.97,"B",4,1136930,4043116
25,"Penfolds, Grange Bin 95, Australian Wine",1986,96.85,"B",4,1136930,1542662
28,"Penfolds, Grange Bin 95, Australian Wine",2007,96.61,"A",4,1136930,1719936
32,"Penfolds, Grange Bin 95, Australian Wine",1990,96.5,"B",6,1136930,1341773
41,"Penfolds, Grange Bin 95, Australian Wine",1971,96.17,"B",5,1136930,1378894
43,"Penfolds, Grange Bin 95, Australian Wine",2002,96.11,"A",6,1136930,1966672
52,"Penfolds, Grange Bin 95, Australian Wine",1998,95.78,"B+",8,1136930,2173522
53,"Penfolds, Grange Bin 95, Australian Wine",2009,95.78,"A",7,1136930,1572667
62,"Penfolds, Grange Bin 95, Australian Wine",1976,95.59,"B+",4,1136930,1742578
64,"Penfolds, Grange Bin 95, Australian Wine",2006,95.48,"B",7,1136930,1850422
89,"Penfolds, Grange Bin 95, Australian Wine",1996,95.06,"B",6,1136930,1907500
93,"Penfolds, Grange Bin 95, Australian Wine",1994,95.03,"B",5,1136930,3533546
45,"Penfolds, Rwt Shiraz, Barossa Valley",2016,95.96,"B+",4,1265,85180230
68,"Penfolds, St Henri, Barossa Valley",2010,95.39,"B+",8,1268,1740735
12,"Torbreck, Runrig Shiraz - Viognier, Barossa Valley",1998,97.52,"A",3,,
26,"Torbreck, Runrig Shiraz - Viognier, Barossa Valley",2004,96.79,"B+",5,,
35,"Torbreck, Runrig Shiraz - Viognier, Barossa Valley",1999,96.41,"B+",5,,
42,"Torbreck, Runrig Shiraz - Viognier, Barossa Valley",2003,96.14,"B",3,,
46,"Torbreck, Runrig Shiraz - Viognier, Barossa Valley",2009,95.95,"C+",4,,
58,"Torbreck, Runrig Shiraz - Viognier, Barossa Valley",2002,95.66,"B",4,,
60,"Torbreck, Runrig Shiraz - Viognier, Barossa Valley",2010,95.61,"C+",5,,
66,"Torbreck, Runrig Shiraz - Viognier, Barossa Valley",2005,95.43,"B",4,,
69,"Torbreck, Runrig Shiraz - Viognier, Barossa Valley",2012,95.34,"B",6,,
73,"Torbreck, Runrig Shiraz - Viognier, Barossa Valley",2007,95.29,"B",5,,
74,"Torbreck, Runrig Shiraz - Viognier, Barossa Valley",2014,95.29,"B",4,,
75,"Torbreck, Runrig Shiraz - Viognier, Barossa Valley",2015,95.27,"C+",3,3231384,151543567
79,"Torbreck, Runrig Shiraz - Viognier, Barossa Valley",2013,95.19,"C+",5,,
38,"Torbreck, The Factor Shiraz, Barossa Valley",2015,96.29,"A+",3,11821,18387633
70,"Torbreck, The Factor Shiraz, Barossa Valley",2005,95.33,"C+",3,11821,25140
5,"Torbreck, The Laird, Barossa Valley",2012,98.28,"B",4,1183599,6107818
50,"Vasse Felix, Tom Cullity, Margaret River",2013,95.8,"A+",3,5067526,148767375
63,"Wendouree, Shiraz, Clare Valley",2012,95.55,"B",4,1845639,5797693
18,"Achaval Ferrer, Finca Altamira Malbec, La Consulta",2009,95.42,"C+",3,,
22,"Achaval Ferrer, Finca Altamira Malbec, La Consulta",2014,95.1,"B+",7,,
28,"Achaval Ferrer, Finca Altamira Malbec, La Consulta",2010,94.93,"B",3,,
34,"Achaval Ferrer, Finca Altamira Malbec, La Consulta",2011,94.79,"B+",5,,
43,"Achaval Ferrer, Finca Altamira Malbec, La Consulta",2015,94.49,"B",3,,
45,"Achaval Ferrer, Finca Altamira Malbec, La Consulta",2013,94.46,"B",5,,
77,"Achaval Ferrer, Finca Altamira Malbec, La Consulta",2005,93.9,"A+",3,,
81,"Achaval Ferrer, Finca Altamira Malbec, La Consulta",2008,93.85,"B",5,,
9,"Achaval Ferrer, Finca Bella Vista Malbec, Mendoza",2011,96.21,"A",5,,
54,"Achaval Ferrer, Finca Bella Vista Malbec, Mendoza",2010,94.29,"B",5,,
85,"Achaval Ferrer, Finca Bella Vista Malbec, Mendoza",2008,93.74,"B",5,,
87,"Achaval Ferrer, Finca Bella Vista Malbec, Mendoza",2015,93.74,"A+",3,,
94,"Achaval Ferrer, Finca Bella Vista Malbec, Mendoza",2013,93.57,"B+",6,,
97,"Achaval Ferrer, Finca Bella Vista Malbec, Mendoza",2014,93.55,"B",4,,
86,"Bodega Aleanna, Gran Enemigo Agrelo' Cabernet Franc, Agrelo",2013,93.74,"A+",3,,
90,"Bodega Aleanna, Gran Enemigo Agrelo' Cabernet Franc, Agrelo",2012,93.68,"A+",3,,
11,"Bodega Aleanna, Gran Enemigo Gualtallary' Cabernet Franc, Tupungato",2013,96.02,"B",3,,
12,"Bodega Aleanna, Gran Enemigo Gualtallary' Cabernet Franc, Tupungato",2012,95.85,"B",4,,
41,"Bodega Aleanna, Gran Enemigo Gualtallary' Cabernet Franc, Tupungato",2010,94.6,"B",5,,
100,"Bodega Aleanna, Gran Enemigo Gualtallary' Cabernet Franc, Tupungato",2011,93.51,"C+",4,,
58,"Bodega Aleanna, Gran Enemigo', Mendoza",2012,94.26,"B",4,,
63,"Bodega Aleanna, Gran Enemigo', Mendoza",2010,94.13,"B",5,,
92,"Bodega Aleanna, Gran Enemigo', Mendoza",2009,93.59,"C+",3,,
98,"Bodega Monteviejo, Lindaflor 'La Violeta' Malbec, Vista Flores",2008,93.55,"B",4,,
5,"Catena Zapata, Adrianna Vineyard Fortuna Terrae Malbec, Tupungato",2016,96.78,"B",3,,
33,"Catena Zapata, Adrianna Vineyard Fortuna Terrae Malbec, Tupungato",2013,94.85,"C+",4,,
6,"Catena Zapata, Adrianna Vineyard Malbec, Tupungato",2009,96.72,"B",3,,
26,"Catena Zapata, Adrianna Vineyard Malbec, Tupungato",2010,95.04,"B",5,,
35,"Catena Zapata, Adrianna Vineyard Malbec, Tupungato",2007,94.78,"A",4,,
42,"Catena Zapata, Adrianna Vineyard Malbec, Tupungato",2004,94.58,"B",4,,
64,"Catena Zapata, Adrianna Vineyard Malbec, Tupungato",2006,94.11,"A+",4,,
78,"Catena Zapata, Adrianna Vineyard Malbec, Tupungato",2005,93.88,"A",5,,
96,"Catena Zapata, Adrianna Vineyard Malbec, Tupungato",2008,93.56,"B",4,,
4,"Catena Zapata, Adrianna Vineyard Mundus Bacillus Terrae Malbec, Tupungato",2016,97.03,"B",3,,
44,"Catena Zapata, Adrianna Vineyard Mundus Bacillus Terrae Malbec, Tupungato",2013,94.47,"B",5,,
7,"Catena Zapata, Adrianna Vineyard River Stones Malbec, Valle de Uco",2016,96.69,"C+",3,,
29,"Catena Zapata, Adrianna Vineyard River Stones Malbec, Valle de Uco",2013,94.93,"C+",4,,
10,"Catena Zapata, Malbec Argentino, Valle De Uco",2004,96.08,"A",4,,
14,"Catena Zapata, Malbec Argentino, Valle De Uco",2005,95.62,"A",5,,
30,"Catena Zapata, Malbec Argentino, Valle De Uco",2006,94.92,"B+",4,,
36,"Catena Zapata, Malbec Argentino, Valle De Uco",2007,94.77,"B",4,,
47,"Catena Zapata, Malbec Argentino, Valle De Uco",2009,94.42,"B",3,,
57,"Catena Zapata, Malbec Argentino, Valle De Uco",2012,94.27,"B",4,,
91,"Catena Zapata, Malbec Argentino, Valle De Uco",2008,93.68,"B",5,,
95,"Catena Zapata, Malbec Argentino, Valle De Uco",2010,93.56,"A+",5,,
19,"Catena Zapata, Nicasia Vineyard Malbec, Mendoza",2009,95.18,"B",3,,
21,"Catena Zapata, Nicasia Vineyard Malbec, Mendoza",2005,95.12,"B+",4,,
27,"Catena Zapata, Nicasia Vineyard Malbec, Mendoza",2006,95.04,"B",4,,
32,"Catena Zapata, Nicasia Vineyard Malbec, Mendoza",2007,94.88,"B+",4,,
72,"Catena Zapata, Nicasia Vineyard Malbec, Mendoza",2004,93.99,"B+",4,,
80,"Catena Zapata, Nicasia Vineyard Malbec, Mendoza",2011,93.87,"C",3,,
23,"Catena Zapata, Nicolas Catena Zapata', Mendoza",2005,95.08,"B+",4,,
39,"Catena Zapata, Nicolas Catena Zapata', Mendoza",2008,94.65,"B+",4,,
46,"Catena Zapata, Nicolas Catena Zapata', Mendoza",2013,94.46,"B",4,,
49,"Catena Zapata, Nicolas Catena Zapata', Mendoza",2004,94.39,"B",5,,
51,"Catena Zapata, Nicolas Catena Zapata', Mendoza",2009,94.32,"A",4,,
55,"Catena Zapata, Nicolas Catena Zapata', Mendoza",2010,94.29,"B+",6,,
76,"Catena Zapata, Nicolas Catena Zapata', Mendoza",2012,93.91,"B",4,,
88,"Catena Zapata, Nicolas Catena Zapata', Mendoza",2007,93.73,"B",4,,
3,"Catena Zapata, White Bones' Adrianna Vineyard Chardonnay, Blanco, Tupungato",2016,97.04,"A+",3,,
8,"Catena Zapata, White Bones' Adrianna Vineyard Chardonnay, Blanco, Tupungato",2013,96.29,"B",3,,
20,"Catena Zapata, White Bones' Adrianna Vineyard Chardonnay, Blanco, Tupungato",2014,95.18,"A+",4,,
25,"Catena Zapata, White Bones' Adrianna Vineyard Chardonnay, Blanco, Tupungato",2010,95.06,"B",5,,
37,"Catena Zapata, White Bones' Adrianna Vineyard Chardonnay, Blanco, Tupungato",2011,94.73,"C",3,,
38,"Catena Zapata, White Bones' Adrianna Vineyard Chardonnay, Blanco, Tupungato",2009,94.7,"B",3,,
2,"Catena Zapata, White Stones' Adrianna Vineyard Chardonnay, Blanco, Tupungato",2016,97.08,"A",3,,
13,"Catena Zapata, White Stones' Adrianna Vineyard Chardonnay, Blanco, Tupungato",2014,95.72,"B",4,,
68,"Catena Zapata, White Stones' Adrianna Vineyard Chardonnay, Blanco, Tupungato",2013,94.03,"A",3,,
70,"Catena Zapata, White Stones' Adrianna Vineyard Chardonnay, Blanco, Tupungato",2009,94,"B",4,,
56,"Familia Zuccardi, 'Finca Canal Uco', Paraje Altamira",2013,94.28,"B",3,,
59,"Luca, Nico Malbec, La Consulta",2004,94.25,"B+",3,,
62,"Luca, Nico Malbec, La Consulta",2005,94.14,"A+",3,,
82,"Luca, Nico Malbec, La Consulta",2014,93.82,"B+",4,,
50,"Mendel, Finca Remota Malbec, La Consulta",2011,94.35,"A",5,,
67,"Mendel, Finca Remota Malbec, La Consulta",2013,94.03,"B+",4,,
74,"Mendel, Finca Remota Malbec, La Consulta",2008,93.97,"B",4,,
84,"Mendel, Unus Malbec - Cabernet Sauvignon, Mendoza",2013,93.75,"B+",5,,
93,"Mendel, Unus Malbec - Cabernet Sauvignon, Mendoza",2011,93.58,"B",5,,
83,"Pascual Toso, Finca Pedregal Single Vineyard Malbec - Cabernet Sauvignon, Barrancas",2014,93.8,"B",3,,
1,"Terrazas De Los Andes, 'Cheval Des Andes', Mendoza",2016,97.5,"A",3,,
65,"Terrazas De Los Andes, 'Cheval Des Andes', Mendoza",2011,94.08,"B+",6,,
71,"Terrazas De Los Andes, 'Cheval Des Andes', Mendoza",2013,94,"B",7,,
79,"Terrazas De Los Andes, 'Cheval Des Andes', Mendoza",2014,93.87,"A",4,,
89,"Terrazas De Los Andes, 'Cheval Des Andes', Mendoza",2012,93.69,"A",8,,
40,"Tres 14, 'Imperfecto', Valle De Uco",2011,94.63,"B",4,,
53,"Tres 14, 'Imperfecto', Valle De Uco",2016,94.29,"A",3,,
73,"Vina Cobos, 'Bramare' Marchiori Vineyard Malbec, Lujan De Cuyo",2011,93.98,"B+",5,,
15,"Vina Cobos, 'Cobos' Marchiori Vineyard Malbec, Lujan De Cuyo",2003,95.54,"A+",3,,
16,"Vina Cobos, 'Cobos' Marchiori Vineyard Malbec, Lujan De Cuyo",2005,95.52,"B+",3,,
17,"Vina Cobos, 'Cobos' Marchiori Vineyard Malbec, Lujan De Cuyo",2004,95.49,"B+",3,,
24,"Vina Cobos, 'Cobos' Marchiori Vineyard Malbec, Lujan De Cuyo",2006,95.06,"C+",3,,
31,"Vina Cobos, 'Cobos' Marchiori Vineyard Malbec, Lujan De Cuyo",2014,94.89,"B+",4,,
48,"Vina Cobos, 'Cobos' Marchiori Vineyard Malbec, Lujan De Cuyo",2011,94.4,"C+",4,,
52,"Vina Cobos, 'Cobos' Marchiori Vineyard Malbec, Lujan De Cuyo",2008,94.32,"B+",3,,
60,"Vina Cobos, 'Cobos' Marchiori Vineyard Malbec, Lujan De Cuyo",2013,94.18,"C",3,,
61,"Vina Cobos, 'Cobos' Marchiori Vineyard Malbec, Lujan De Cuyo",2009,94.16,"A+",4,,
75,"Vina Cobos, 'Cobos' Marchiori Vineyard Malbec, Lujan De Cuyo",2010,93.94,"B",4,,
69,"Vina Cobos, Bramare Touza Vineyard Malbec, Las Compuertas",2013,94.01,"B",5,,
66,"Vina Cobos, Corte Unico-Volturno Cabernet Sauvignon - Malbec, Lujan De Cuyo",2010,94.04,"B+",3,,
99,"Vina Cobos, Corte Unico-Volturno Cabernet Sauvignon - Malbec, Lujan De Cuyo",2011,93.54,"B+",5,,
9,"Ata Rangi, Pinot Noir, Martinborough",2013,93.73,"B+",7,,
15,"Ata Rangi, Pinot Noir, Martinborough",2012,93.54,"B+",7,,
26,"Ata Rangi, Pinot Noir, Martinborough",2005,93.28,"B",4,,
30,"Ata Rangi, Pinot Noir, Martinborough",2007,93.19,"B",5,,
45,"Ata Rangi, Pinot Noir, Martinborough",2010,92.88,"B+",7,,
79,"Ata Rangi, Pinot Noir, Martinborough",2003,92.25,"B",6,,
81,"Ata Rangi, Pinot Noir, Martinborough",2014,92.23,"C+",4,,
89,"Ata Rangi, Pinot Noir, Martinborough",2009,92.15,"B",7,,
91,"Ata Rangi, Pinot Noir, Martinborough",2011,92.13,"B",7,,
1,"Bell Hill, Chardonnay, White, Canterbury",2010,95.69,"A",3,,
2,"Bell Hill, Chardonnay, White, Canterbury",2011,94.86,"B",4,,
11,"Bell Hill, Chardonnay, White, Canterbury",2012,93.71,"B",3,,
16,"Bell Hill, Chardonnay, White, Canterbury",2006,93.52,"A+",4,,
49,"Bell Hill, Chardonnay, White, Canterbury",2009,92.78,"A",5,,
76,"Bell Hill, Chardonnay, White, Canterbury",2008,92.34,"B",4,,
5,"Bell Hill, Pinot Noir, Canterbury",2013,94.2,"A+",3,,
6,"Bell Hill, Pinot Noir, Canterbury",2010,94.17,"B",4,,
10,"Bell Hill, Pinot Noir, Canterbury",2009,93.72,"B+",5,,
41,"Bell Hill, Pinot Noir, Canterbury",2011,92.95,"B",6,,
75,"Bell Hill, Pinot Noir, Canterbury",2008,92.34,"A+",3,,
93,"Bell Hill, Pinot Noir, Canterbury",2006,92.11,"B+",3,,
70,"Craggy Range, Aroha Pinot Noir, Martinborough",2014,92.41,"B",5,,
39,"Craggy Range, Le Sol Gimblett Gravels Syrah, Hawkes Bay",2015,92.97,"A",3,,
58,"Craggy Range, Le Sol Gimblett Gravels Syrah, Hawkes Bay",2013,92.49,"B+",6,,
66,"Craggy Range, Le Sol Gimblett Gravels Syrah, Hawkes Bay",2007,92.44,"C+",4,,
85,"Craggy Range, Le Sol Gimblett Gravels Syrah, Hawkes Bay",2014,92.19,"B+",5,,
94,"Craggy Range, Le Sol Gimblett Gravels Syrah, Hawkes Bay",2009,92.08,"B",4,,
54,"Craggy Range, Sophia Gimblett Gravels Merlot, Hawkes Bay",2014,92.67,"B+",4,,
68,"Craggy Range, Sophia Gimblett Gravels Merlot, Hawkes Bay",2013,92.42,"A",5,,
21,"Destiny Bay, Mystae, Waiheke Island",2010,93.42,"B+",3,,
51,"Dog Point, Pinot Noir, Marlborough",2014,92.72,"B",4,,
7,"Dog Point, Vineyard Section 94 Sauvignon Blanc, White, Marlborough",2014,93.89,"A",3,,
100,"Dry River, Pinot Noir, Martinborough",2007,91.93,"B",3,,
40,"Felton Road, Bannockburn Pinot Noir, Central Otago",2013,92.96,"B",5,,
67,"Felton Road, Bannockburn Pinot Noir, Central Otago",2017,92.42,"C+",4,,
87,"Felton Road, Bannockburn Pinot Noir, Central Otago",2015,92.19,"C+",3,,
59,"Felton Road, Block 1 Riesling, White, Central Otago",2017,92.48,"B",3,,
73,"Felton Road, Block 2 Chardonnay, White, Central Otago",2013,92.38,"B",3,,
99,"Felton Road, Block 2 Chardonnay, White, Central Otago",2014,91.99,"A+",4,,
3,"Felton Road, Block 3 Pinot Noir, Central Otago",2016,94.32,"B+",4,,
14,"Felton Road, Block 3 Pinot Noir, Central Otago",2017,93.59,"B+",3,,
20,"Felton Road, Block 3 Pinot Noir, Central Otago",2015,93.49,"B+",5,,
22,"Felton Road, Block 3 Pinot Noir, Central Otago",2013,93.41,"B",4,,
27,"Felton Road, Block 3 Pinot Noir, Central Otago",2014,93.24,"A",7,,
29,"Felton Road, Block 3 Pinot Noir, Central Otago",2012,93.2,"B",5,,
36,"Felton Road, Block 3 Pinot Noir, Central Otago",2010,93.01,"A",6,,
44,"Felton Road, Block 3 Pinot Noir, Central Otago",2007,92.91,"B",6,,
47,"Felton Road, Block 3 Pinot Noir, Central Otago",2008,92.86,"A+",3,,
61,"Felton Road, Block 3 Pinot Noir, Central Otago",2004,92.47,"B",4,,
63,"Felton Road, Block 3 Pinot Noir, Central Otago",2009,92.45,"B",5,,
64,"Felton Road, Block 3 Pinot Noir, Central Otago",2006,92.44,"B",5,,
90,"Felton Road, Block 3 Pinot Noir, Central Otago",2011,92.14,"B",6,,
4,"Felton Road, Block 5 Pinot Noir, Central Otago",2016,94.21,"A",3,,
8,"Felton Road, Block 5 Pinot Noir, Central Otago",2012,93.77,"B",4,,
17,"Felton Road, Block 5 Pinot Noir, Central Otago",2009,93.51,"A",5,,
18,"Felton Road, Block 5 Pinot Noir, Central Otago",2014,93.5,"A",4,,
25,"Felton Road, Block 5 Pinot Noir, Central Otago",2007,93.34,"B",6,,
31,"Felton Road, Block 5 Pinot Noir, Central Otago",2003,93.18,"C",3,,
32,"Felton Road, Block 5 Pinot Noir, Central Otago",2015,93.12,"B",3,,
57,"Felton Road, Block 5 Pinot Noir, Central Otago",2013,92.49,"A",4,,
83,"Felton Road, Block 5 Pinot Noir, Central Otago",2008,92.2,"A",4,,
84,"Felton Road, Block 5 Pinot Noir, Central Otago",2010,92.19,"A+",6,,
88,"Felton Road, Block 5 Pinot Noir, Central Otago",2006,92.16,"C+",3,,
46,"Felton Road, Calvert Pinot Noir, Central Otago",2013,92.86,"B",4,,
56,"Felton Road, Calvert Pinot Noir, Central Otago",2015,92.58,"B",4,,
65,"Felton Road, Calvert Pinot Noir, Central Otago",2007,92.44,"B+",6,,
80,"Felton Road, Calvert Pinot Noir, Central Otago",2016,92.24,"B+",3,,
97,"Felton Road, Calvert Pinot Noir, Central Otago",2012,92.03,"B+",5,,
28,"Felton Road, Cornish Point Pinot Noir, Central Otago",2007,93.23,"B",6,,
48,"Felton Road, Cornish Point Pinot Noir, Central Otago",2015,92.84,"C",3,,
50,"Felton Road, Cornish Point Pinot Noir, Central Otago",2014,92.78,"B",5,,
53,"Felton Road, Cornish Point Pinot Noir, Central Otago",2009,92.68,"A",8,,
55,"Felton Road, Cornish Point Pinot Noir, Central Otago",2016,92.65,"B",4,,
77,"Felton Road, Cornish Point Pinot Noir, Central Otago",2011,92.32,"A+",5,,
86,"Felton Road, Cornish Point Pinot Noir, Central Otago",2017,92.19,"B+",4,,
96,"Felton Road, Cornish Point Pinot Noir, Central Otago",2013,92.03,"A+",6,,
98,"Greystonewines, The Brothers' Reserve Pinot Noir, Waipara",2012,92,"B",3,,
43,"Kevin Judd Greywacke, Chardonnay, White, Marlborough",2014,92.92,"C+",3,,
12,"Kusuda, Pinot Noir, Martinborough",2010,93.66,"B",3,,
13,"Kusuda, Pinot Noir, Martinborough",2013,93.59,"B",3,,
