"pos","Wine","Vintage","GWS","CI","NBJ","_id","_vintageId"
61,"Domaine Leroy, Musigny Grand Cru",2002,99.16,"A",3,1895206,11465516
88,"Domaine Leroy, Musigny Grand Cru",2011,98.9,"B",4,1895206,4005586
99,"Domaine Leroy, Musigny Grand Cru",2005,98.83,"B",3,1895206,5973053
3,"Domaine Leroy, Romanee Saint Vivant Grand Cru",2015,100,"A+",6,1564272,53548855
28,"Domaine Leroy, Romanee Saint Vivant Grand Cru",2012,99.63,"A+",5,1564272,4505623
37,"Domaine Leroy, Romanee Saint Vivant Grand Cru",2010,99.52,"B+",4,1564272,7624144
74,"Domaine Leroy, Romanee Saint Vivant Grand Cru",2011,99.03,"B+",4,1564272,4303089
90,"Domaine Leroy, Romanee Saint Vivant Grand Cru",2009,98.87,"B",3,1564272,4303109
66,"E. Guigal, La Landonne, Cote Rotie",2003,99.08,"A",9,36404,85080
52,"E. Guigal, La Mouline, Cote Rotie",1988,99.32,"B+",4,36434,1994664
56,"E. Guigal, La Mouline, Cote Rotie",1985,99.24,"A",6,36434,2970251
57,"E. Guigal, La Mouline, Cote Rotie",2015,99.23,"A",4,36434,19642897
73,"E. Guigal, La Turque, Cote Rotie",2015,99.04,"A+",4,1473611,17715743
45,"F E Trimbach, Riesling Clos Sainte Hune, Blanc, Alsace",1990,99.41,"B",4,,
30,"Krug, Clos Du Mesnil Blanc De Blancs Brut, Blanc, Champagne",1996,99.62,"B",3,79635,94534
4,"Leroy Domaine D'Auvenay, Blanc, Chevalier Montrachet Grand Cru",2002,100,"A+",3,,
8,"Leroy Domaine D'Auvenay, Blanc, Chevalier Montrachet Grand Cru",2008,100,"A",3,,
33,"Leroy Domaine D'Auvenay, Blanc, Chevalier Montrachet Grand Cru",2012,99.59,"A+",3,,
48,"Leroy Domaine D'Auvenay, Blanc, Chevalier Montrachet Grand Cru",2010,99.38,"B",5,,
62,"Leroy Domaine D'Auvenay, Blanc, Criots-Batard-Montrachet",2012,99.14,"B+",3,,
18,"Leroy Domaine D'Auvenay, Bonnes Mares Grand Cru",2012,99.82,"A+",3,,
64,"M. Chapoutier, L'Ermite Blanc, Blanc, Hermitage",2004,99.12,"A",3,,
68,"M. Chapoutier, L'Ermite Blanc, Blanc, Hermitage",2003,99.06,"B",3,,
71,"Michel Stephane Ogier, La Belle Helene, Cote Rotie",1999,99.04,"B+",3,1109691,3051140
23,"Paul Jaboulet Aine, La Chapelle, Hermitage",1961,99.7,"A+",3,10922,88796
84,"Paul Jaboulet Aine, La Chapelle, Hermitage",2015,98.92,"B+",5,10922,19603131
65,"Petrus, Pomerol",2018,99.11,"A+",14,1166837,156099048
70,"Petrus, Pomerol",2009,99.04,"A+",19,1166837,1746707
79,"Petrus, Pomerol",2016,98.98,"A+",20,1166837,87613428
83,"Petrus, Pomerol",2015,98.94,"A+",19,1166837,14162009
98,"Petrus, Pomerol",2000,98.83,"B+",11,1166837,1859168
100,"Petrus, Pomerol",2010,98.82,"A+",20,1166837,1941165
60,"Abreu Vineyard, Las Posadas, Howell Mountain",2013,98.24,"B",3,4827751,147207870
63,"Abreu Vineyard, Las Posadas, Howell Mountain",2015,98.21,"A+",4,4827751,154314400
5,"Abreu Vineyard, Madrona Ranch Cabernet Sauvignon, Napa Valley",2002,99.7,"A+",3,18199,2729890
14,"Abreu Vineyard, Madrona Ranch Cabernet Sauvignon, Napa Valley",2001,99.04,"A",3,18199,98392
19,"Abreu Vineyard, Madrona Ranch Cabernet Sauvignon, Napa Valley",2012,98.95,"B",5,18199,13991049
24,"Abreu Vineyard, Madrona Ranch Cabernet Sauvignon, Napa Valley",2013,98.82,"A",3,18199,4175254
26,"Abreu Vineyard, Madrona Ranch Cabernet Sauvignon, Napa Valley",2015,98.78,"A+",5,18199,24871510
87,"Abreu Vineyard, Madrona Ranch Cabernet Sauvignon, Napa Valley",2009,97.83,"B",3,18199,1962671
95,"Abreu Vineyard, Madrona Ranch Cabernet Sauvignon, Napa Valley",2007,97.71,"A+",3,18199,2110726
2,"Abreu Vineyard, Thorevilos Cabernet Sauvignon, Napa Valley",2013,100,"A",3,79993,15895984
6,"Abreu Vineyard, Thorevilos Cabernet Sauvignon, Napa Valley",2007,99.52,"A+",3,79993,1722790
8,"Abreu Vineyard, Thorevilos Cabernet Sauvignon, Napa Valley",2015,99.43,"A+",5,79993,29619555
53,"Abreu Vineyard, Thorevilos Cabernet Sauvignon, Napa Valley",2012,98.33,"A+",4,79993,16050174
49,"Beringer Vineyards, Private Reserve Cabernet Sauvignon, Napa Valley",2015,98.38,"C",3,73673,15574906
52,"Bond Estates, Pluribus Red, Napa Valley",2015,98.35,"A",3,,
98,"Bond Estates, St Eden Red, Napa Valley",2002,97.65,"B",3,,
57,"Bond Estates, Vecina Red, Napa Valley",2015,98.27,"A+",3,,
66,"Bryant Family Vineyard, Cabernet Sauvignon, Napa Valley",2004,98.18,"A",3,1645873,2697811
70,"Bryant Family Vineyard, Cabernet Sauvignon, Napa Valley",2014,98.07,"B",5,1645873,12224662
99,"Cayuse Vineyards, Bionic Frog Syrah, Walla Walla Valley",2010,97.64,"B",4,1145385,2251844
43,"Cayuse Vineyards, En Chamberlin Vineyard Syrah, Walla Walla Valley",2009,98.42,"A+",4,1150484,1538703
39,"Chappellet, Pritchard Hill Cabernet Sauvignon, Napa Valley",2015,98.56,"C+",5,1128247,14643232
90,"Chappellet, Pritchard Hill Cabernet Sauvignon, Napa Valley",2014,97.79,"A+",3,1128247,14643182
94,"Chappellet, Pritchard Hill Cabernet Sauvignon, Napa Valley",2016,97.74,"B",3,1128247,99614060
40,"Colgin Cellars, Cariad Red, Napa Valley",2007,98.49,"B+",5,,
34,"Colgin Cellars, Ix Estate Red, Napa Valley",2013,98.66,"A",6,8023,16050393
55,"Colgin Cellars, Ix Estate Red, Napa Valley",2002,98.31,"B+",4,8023,2456742
61,"Colgin Cellars, Ix Estate Red, Napa Valley",2015,98.23,"B+",5,8023,15786962
27,"Colgin Cellars, Tychson Hill Vineyard Cabernet Sauvignon, Napa Valley",2015,98.77,"A",5,8025,76939007
32,"Colgin Cellars, Tychson Hill Vineyard Cabernet Sauvignon, Napa Valley",2002,98.67,"A+",4,8025,92936
3,"Continuum, Proprietary Red, Oakville",2015,99.85,"C",3,1104820,18713657
71,"Corison, Kronos Vineyard Cabernet Sauvignon, Napa Valley",2015,98.05,"C",3,1179956,26769700
100,"Dalla Valle Vineyards, Maya, Napa Valley",2010,97.63,"B",5,,
